Distance(A),Angle,VQE,CCSD,RHF
1.39541,130,-1941.71575,-1942.012413,-1941.706405
1.437515263,135.2631579,-1941.71575,-1942.012421,-1941.706405
1.479620526,140.5263158,-1941.715751,-1942.012399,-1941.706406
1.521725789,145.7894737,-1941.715751,-1942.012503,-1941.706406
1.563831053,151.0526316,-1941.715751,-1942.012466,-1941.706406
1.605936316,156.3157895,-1941.715751,-1942.012413,-1941.706406
1.648041579,161.5789474,-1941.715751,-1942.012485,-1941.706407
1.690146842,166.8421053,-1941.715752,-1942.012449,-1941.706407
1.732252105,172.1052632,-1941.715752,-1942.012432,-1941.706407
1.774357368,177.3684211,-1941.715752,-1942.012453,-1941.706407
1.816462632,182.6315789,-1941.715752,-1942.012453,-1941.706407
1.858567895,187.8947368,-1941.715752,-1942.012432,-1941.706407
1.900673158,193.1578947,-1941.715752,-1942.012449,-1941.706407
1.942778421,198.4210526,-1941.715751,-1942.012485,-1941.706407
1.984883684,203.6842105,-1941.715751,-1942.012413,-1941.706406
2.026988947,208.9473684,-1941.715751,-1942.012466,-1941.706406
2.069094211,214.2105263,-1941.715751,-1942.012503,-1941.706406
2.111199474,219.4736842,-1941.715751,-1942.012399,-1941.706406
2.153304737,224.7368421,-1941.71575,-1942.012421,-1941.706405
2.19541,230,-1941.71575,-1942.012413,-1941.706405