Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-1921.779869,-1922.267062,-1921.773092,-1922.053684,-1922.066042
0.65,-1933.97877,-1934.488302,-1933.96341,-1934.270788,-1934.288834
0.8,-1938.336093,-1938.891566,-1938.322145,-1938.650261,-1938.674121
0.95,-1940.320775,-1940.875969,-1940.312355,-1940.642556,-1940.66799
1.1,-1941.221525,-1941.7419,-1941.21436,-1941.532905,-1941.555033
1.25,-1941.584375,-1942.036097,-1941.577162,-1941.884969,-1941.903598
1.4,-1941.718203,-1942.099336,-1941.708702,-1942.014817,-1942.033133
1.55,-1941.769793,-1942.140003,-1941.752638,-1942.063855,-1942.083567
1.7,-1941.779726,-1942.144447,-1941.762102,-1942.08051,-1942.102127
1.85,-1941.770856,-1942.173048,-1941.755468,-1942.081428,-1942.105073
2,-1941.746938,-1942.192244,-1941.740656,-1942.073888,-1942.099498
2.15,-1941.723986,-1942.178032,-1941.72209,-1942.061749,-1942.089097
2.3,-1941.703541,-1942.171119,-1941.702502,-1942.047391,-1942.076177
2.45,-1941.684453,-1942.166938,-1941.683587,-1942.032501,-1942.062513
2.6,-1941.667297,-1942.163778,-1941.666354,-1942.018364,-1942.049626
2.75,-1941.652607,-1942.161526,-1941.65134,-1942.00541,-1942.038287
2.9,-1941.620613,-1942.202024,-1941.620613,-1941.993211,-1942.028403
3.05,-1941.611349,-1942.20074,-1941.611349,-1941.986347,-1942.023831
3.2,-1941.603975,-1942.200279,-1941.603975,-1941.934035,-1941.967437
3.35,-1941.598261,-1942.201045,-1941.598261,-1941.926655,-1942.060842
3.5,-1941.59394,-1942.202204,-1941.59394,-1941.915037,-1942.122285
3.65,-1941.590727,-1942.203687,-1941.590727,-1941.965608,-2178.68432
3.8,-1941.588366,-1942.205026,-1941.588366,-1941.672293,-4636.16964
3.95,-1941.586637,-1942.206282,-1941.586637,-1941.864207,-1941.888783
4.1,-1941.73538,-1942.232065,-1941.597911,-1941.906875,-1941.942406
4.25,-1941.739868,-1942.232088,-1941.597964,-1941.865644,-1941.932695
4.4,-1941.742772,-1942.231895,-1941.59811,-1942.025015,-1942.869862
4.55,-1941.748174,-1942.230795,-1941.582004,-1942.032626,-1942.266988
4.7,-1941.747181,-1942.228602,-1941.241947,,
4.85,-1941.752223,-1942.232192,-1941.598778,-1942.030199,-1942.896414