Distance(A),Full,Linear,Reverse Linear,Circular,
1.1,0.887821404,0.834024435,0.878729254,0.874222168,
1.25,0.472405327,0.733322874,0.418324417,0.170344557,
1.4,0.216194708,0.160115242,0.195401127,-0.042167936,
1.55,0.09816279,0.049168762,0.081205607,-0.197368255,
1.7,0.045749655,-0.001959225,0.033261019,0.077908521,
1.85,0.028578429,-0.016587007,0.004864074,-0.275702117,
2,0.080580171,-0.012992697,1.71395E-05,-0.253254861,
2.15,0.020067633,-0.027523566,0.048493947,-0.264712329,
2.3,0.019664465,-0.027273431,0.017731402,-0.189369223,
2.45,0.039094487,-0.020792582,0.014902309,-0.262295672,
2.6,0.033540161,0.149968533,0.097309756,-0.267522554,
2.75,0.021722925,-0.013634282,0.015668078,-0.225936563,
2.9,0.025896732,-0.015297429,0.019197548,-0.265014772,
3.05,0.035595813,-0.028625103,0.005814188,-0.031946329,
3.2,0.036526842,0.396114094,0.020157884,-0.258356456,
3.35,0.032210404,-0.032896207,0.022289799,-0.278582738,
3.5,0.021267711,-0.007161259,0.096036814,0.096679602,
3.65,0.048999624,-0.033631424,0.020334711,-0.20058513,
3.8,0.041647975,-0.011068242,0.023091329,-0.240618121,
3.95,0.030478309,-0.008948707,0.00304881,-0.283317925,